tname;tdate;ttext;tgeo
Клава Харитончюк;2016-07-30 22:36:44;В СПбГУ создали программу для исследования текстов на любом языке;None
Татьяна;2016-07-30 21:58:29;В СПбГУ создали программу для исследования текстов на любом языке;None
Juli Feda;2016-07-30 21:34:54;В СПбГУ создали программу для исследования текстов на любом языке #se;None
Юлия Акулич;2016-07-30 21:33:55;В СПбГУ создали программу для исследования текстов на любом языке;None
Руфина Пигулина;2016-07-30 21:33:55;В СПбГУ создали программу для исследования текстов на любом языке;None
Outhediter;2016-07-30 21:31:46;#38 В СПбГУ создали программу для исследования текстов на любом языке #ker;None
Hediesin;2016-07-30 21:30:46;#84 В СПбГУ создали программу для исследования текстов на любом языке #ke;None
Macfenit;2016-07-30 21:28:43;#96 В СПбГУ создали программу для исследования текстов на любом языке #ke;None
Lost Found;2016-07-30 21:28:15;#nau В СПбГУ создали программу для исследования текстов на любом языке;None
Meufos;2016-07-30 21:26:51;#56 В СПбГУ создали программу для исследования текстов на любом языке #EG;None
Brian Sweeney;2016-07-30 21:26:26;В СПбГУ создали программу для исследования текстов на любом языке;None
Kardinava;2016-07-30 21:25:04;#no В СПбГУ создали программу для исследования текстов на любом языке;None
Terensava;2016-07-30 21:24:57;В СПбГУ создали программу для исследования текстов на любом языке #GO;None
Скрипач Ненужин;2016-07-30 21:24:39;В СПбГУ создали программу для исследования текстов на любом языке https://t.co/tgPH3BnORu https://t.co/ROKF2winIN;None
Кира Смирнова;2016-07-30 21:24:36;#973 В СПбГУ создали программу для исследования текстов на любом языке #lv;None
Anastasia;2016-07-30 21:24:21;В один момент твердо решила переложить оригинал в спбгу, но единственный знакомый оттуда сбежал 😟;None
Shalunov Fedia;2016-07-30 21:24:09;В СПбГУ создали программу для исследования текстов на любом языке: «Молодые математики матмеха СПбГУ Андрей Бояров… https://t.co/sxSsRs9Ngf;None
Aleksa Kuz;2016-07-30 21:22:27;В СПбГУ создали программу для исследования текстов на любом языке #ukam;None
Юлиана Миронова;2016-07-30 21:22:19;@banderfootball В МГИМО, МГУ и СПбГУ дают прекрасное образование, а стажировка в Европе и США просто необязательный бонус);None
Nikolai Larin;2016-07-30 20:28:17;Закон Времени – Математики СПбГУ разработали уникальную методику исследования текстов на любых языках https://t.co/ewbJYEMt3o;None
evgeni;2016-07-30 20:24:30;ТАСС: Наука - Математики СПбГУ разработали уникальную методику исследования текстов на любых языках https://t.co/kFp5vqFHZE;None
evgeni;2016-07-30 20:24:21;ТАСС: Наука - Математики СПбГУ разработали уникальную методику исследования текстов на любых… https://t.co/eG1tTyAfp5;None
evgeni;2016-07-30 20:24:19;ТАСС: Наука - Математики СПбГУ разработали уникальную методику исследования текстов на любых… https://t.co/cczIdoqOCu;None
георрu.;2016-07-30 17:22:52;@mydarlingrex ну не обязательно в спбгу;None
Рекс;2016-07-30 17:21:52;@im_georri Да бляяя, там была пара вузов всего, из которых в СПБГУ проходной балл на международные на 10+ выше того, что есть у меня.;None
Варя;2016-07-30 16:55:42;Горжусь этой крошкой😘 студентка СПбГУ едрит Мадрид😮)))  Жги, Настюха)))  #vsco #edit #instadaily… https://t.co/ybjZLsd9Mp;59.97145718,30.09656893
деллис♡пай;2016-07-30 16:50:19;RT @tabyretka__89: @KOKC_HA_XAPPE там гимназия при СПбГУ бесплатно;None
.фелин';2016-07-30 16:50:07;@KOKC_HA_XAPPE там гимназия при СПбГУ бесплатно;None
обломкин;2016-07-30 15:38:35;Ой, сегодня ровно год, как я подала свой оригинал в СПбГУ.;None
Влад-Реп;2016-07-30 15:38:06;@Gendzi_T я просто ору с коммента и спбгу здесь вообще не при чем)));None
Гендзи;2016-07-30 15:37:23;@followFSWL кто там был против срача ИТМО и СПбГУ ?)));None
Закон Времени;2016-07-30 14:41:05;#zakonvremeni Математики СПбГУ разработали уникальную методику исследования текстов на любых языках: https://t.co/AYAjhFnB60;None
Jenkers News (RUS);2016-07-30 14:41:03;В СПбГУ создали программу для исследования текстов на любом языке https://t.co/NMCJrbsHsG https://t.co/ZSXDKl13NL;None
Sergei Petrovski;2016-07-30 14:36:48;Математики СПбГУ разработали уникальную методику исследования текстов на любых языках https://t.co/A4WwGmOmQz;None
великосветский лев;2016-07-30 14:29:30;просто берите и идите в спбгу, умные друзья )));None
RuNews24.ru Новости;2016-07-30 14:09:15;В СПбГУ создали программу для исследования текстов на любом языке   #СПбГУ      https://t.co/XljuZbGnnu https://t.co/iS131vOdPc;None
Женя;2016-07-30 14:02:39;Спбгу хочет меня, уже 3 раз за неделю звонят;None
☽ квинни ☾;2016-07-30 13:58:50;@NastNastella в этом году иногородних больше, квоты больше, мест меньше в прошлом году с моими баллами я бы поступила на матмех спбгу;None
