tdate;ttext;tgeo
2016-07-19 11:33:33;скажите реально поступить в ИТМО (Санкт-Петербург) на бюджет?;None
2016-07-19 10:58:43;Нужно отметить, что в ИТМО приемка приятнее (и быстрее) чем в Горном, несмотря на обилие окошек и красивые костюмчики;None
2016-07-19 10:05:01;@manythought итмо забрал всех моих мальчиков (( друзья все туда  и не только друзья....;None
2016-07-19 09:56:42;В холле итмо фигни покемонские 😂😂;None
2016-07-19 09:17:52;Не знаете с кем оставить домашнего питомца во время отпуска? Доверьтесь технологиям! https://t.co/hC9PRyO5hQ #ИТМО;None
2016-07-19 08:51:28;живу рядом с итмо ХАХАХА вот ето стеб));None
2016-07-19 07:25:59;Сначала я постоянно обновлял сайт ЕГЭ, а теперь то же самое делаю с сайтом приёмной кампании ИТМО. Быстрее бы уже списки зачисленных увидеть;None
2016-07-18 22:01:27;Завтра сгоняю в ИТМО Точнее сегодня Днем  А что потом;None
2016-07-18 18:39:16;Взяли интервью у Паши 😂 Любимый мой, твои ответы лучшие (@ Фонтан университета ИТМО) https://t.co/z7ZO8WvcJW https://t.co/MXI6eKYDPn;59.95762843,30.3054664
2016-07-18 16:42:52;Бгггг. #итмо https://t.co/YX8nX1E12N;None
2016-07-18 15:21:03;Накинули 5 баллов в ИТМО за портфолио ОХУЕТЬ Я на ~40 мест поднялся в рейтинге;None
2016-07-18 14:59:15;Проблемы умных городов будут решать в университетах https://t.co/mLD501FxOH #ИТМО;None
2016-07-18 12:03:08;Курс на карьеру: платформа Courseburg станет проводником в сфере дополнительного образования https://t.co/Of0wWEkYxj #ИТМО;None
2016-07-18 11:32:38;RT @habrahabr: Дайджест Университета ИТМО: https://t.co/nCLyiLNBfx. Подборка публикаций, посвящённых резидентам акселераторов. https://t.co…;None
2016-07-18 10:58:18;Сейчас звонили из ИТМО и сказали, что я поступил к ним!!! Я просто ору!;None
2016-07-18 09:34:54;Еще одно интересное мероприятие в июле! Открыта регистрация на "Открытый универистет" https://t.co/SMG1NltOQg #ИТМО;None
2016-07-18 09:29:28;Дайджест Университета ИТМО: Резиденты наших акселераторов;None
2016-07-18 09:29:12;RT @spbifmo: На #vkfest в зоне #ИТМО нам удалось поймать Пикачу! #PokemonGO https://t.co/MDwGwHyG8L;None
2016-07-18 09:19:04;Дайджест Университета ИТМО: Резиденты наших акселераторов  С 2012 года в России... https://t.co/PNKd0XvIVF https://t.co/9WbtT86QNx;None
2016-07-18 09:07:04;#Дайджест Университета ИТМО: Резиденты наших акселераторов https://t.co/Qh6shpFjYW #управлениепроектами;None
2016-07-18 09:05:08;Дайджест Университета ИТМО: https://t.co/nCLyiLNBfx. Подборка публикаций, посвящённых резидентам акселераторов. https://t.co/NuQvjWmIo3;None
2016-07-18 09:02:04;#habr Дайджест Университета ИТМО: Резиденты наших акселераторов https://t.co/6SvgDNuKEy;None
2016-07-18 08:46:20;#habrahabr.ru &gt Дайджест Университета ИТМО: Резиденты наших акселераторов https://t.co/7EykPKl8c8;None
